"","SECTION","GENDER","ETHDESCR","CUM_GPA","CUMCREDS","ACT_TOTL","ACT_ENGL","ACT_MATH","ACT_READ","ACT_SCIR","HSPR","LTRGRADE","STATGRAD","DEVSTDNT"
"120",5,"F","White     ",NA,30,24,21,21,26,29,39,"B-",2.67,"YES"
"121",5,"M","White     ",NA,11,21,23,18,22,22,13,"F ",0,"YES"
"122",5,"F","White     ",NA,13,19,15,21,17,21,57,"A-",3.67,"YES"
"123",1,"F","Black     ",3.34,114.33,NA,NA,NA,NA,NA,NA,"B ",3,"NO "
"124",1,"F","White     ",3.29,108.66,NA,NA,NA,NA,NA,NA,"A ",4,"NO "
"125",1,"F","White     ",2.84,47,26,23,26,31,24,82,"A ",4,"NO "
"126",1,"F","Black     ",2.75,66,17,19,18,15,17,38,"D ",1,"NO "
"127",1,"F","Black     ",2.33,60.67,NA,NA,NA,NA,NA,NA,"D ",1,"NO "
"128",1,"F","Unknown   ",NA,88,NA,NA,NA,NA,NA,NA,"A-",3.67,"NO "
"129",2,"F","Asian     ",2.63,70.32,NA,NA,NA,NA,NA,NA,"W ",NA,"NO "
"130",2,"F","White     ",3.67,43,23,25,25,24,18,75,"A ",4,"NO "
"131",2,"F","White     ",2.85,87,21,19,18,21,26,85,"A ",4,"NO "
"132",2,"M","White     ",2.63,99,NA,NA,NA,NA,NA,NA,"B-",2.67,"NO "
"133",3,"M","White     ",3.54,88.34,NA,NA,NA,NA,NA,NA,"W ",NA,"NO "
"134",3,"M","Unknown   ",2.81,193.34,NA,NA,NA,NA,NA,NA,"S ",2,"NO "
"135",3,"M","Black     ",2.2,116.66,NA,NA,NA,NA,NA,NA,"F ",0,"NO "
"136",3,"M","White     ",2.73,135.01,NA,NA,NA,NA,NA,NA,"B-",2.67,"NO "
"137",3,"F","White     ",3.17,130.68,NA,NA,NA,NA,NA,NA,"W ",NA,"NO "
"138",3,"F","White     ",3.8,114.67,NA,NA,NA,NA,NA,NA,"A-",3.67,"NO "
"139",3,"M","White     ",2.41,77.67,NA,NA,NA,NA,NA,NA,"D+",1.33,"NO "
"140",3,"F","White     ",2.91,66,24,25,22,26,22,21,"B-",2.67,"NO "
"141",3,"F","White     ",3.36,47,24,21,25,25,26,NA,"A-",3.67,"NO "
"142",3,"F","White     ",3.06,36,20,19,19,20,21,71,"C ",2,"NO "
"143",3,"M","White     ",NA,12,24,18,26,26,25,35,"A-",3.67,"NO "
"144",3,"F","White     ",NA,84,NA,NA,NA,NA,NA,NA,"A ",4,"NO "
"145",4,"F","White     ",2.61,107.67,NA,NA,NA,NA,NA,NA,"A-",3.67,"NO "
"146",4,"M","White     ",2.42,124.82,NA,NA,NA,NA,NA,NA,"C ",2,"NO "
"147",4,"M","White     ",1.83,82,NA,NA,NA,NA,NA,NA,"B ",3,"NO "
"148",4,"F","White     ",NA,50.3,NA,NA,NA,NA,NA,NA,"B ",3,"NO "
"149",4,"M","Asian     ",3.22,49,26,20,26,32,26,82,"B ",3,"NO "
"150",4,"F","White     ",NA,18,NA,NA,NA,NA,NA,9,"A ",4,"NO "
"151",5,"F","Black     ",3.2,40,21,21,19,25,20,NA,"C ",2,"NO "
